id,name,cost,protection,shieldProtection,defence,parry,encumbrance,slotType,requiredSlots,abilities,properties,rarity,categories
a1,buckler,gold (3.5),"eye (0), head (0), body (0), arm (0), leg (0), wing (0)",14,0,2,0,hands,1,,,0,Shields
a2,shield,gold (5),"eye (0), head (0), body (0), arm (0), leg (0), wing (0)",16,-1,4,1,hands,1,,,0,Shields
a3,kite shield,gold (8),"eye (0), head (0), body (0), arm (0), leg (0), wing (0)",19,-2,6,2,hands,1,,,0,Shields
a4,tower shield,gold (8),"eye (0), head (0), body (0), arm (0), leg (0), wing (0)",16,-2,7,2,hands,1,,,0,Shields
a5,leather cuirass,gold (5.5),"eye (0), head (0), body (6), arm (6), leg (6), wing (6)",0,0,0,0,body,1,,,0,Light armors
a6,ring mail cuirass,gold (9),"eye (0), head (0), body (8), arm (8), leg (8), wing (8)",0,0,0,0,body,1,,,0,Light armors
a7,scale mail cuirass,gold (9),"eye (0), head (0), body (10), arm (10), leg (10), wing (10)",0,-1,0,1,body,1,,,0,Light armors
a8,chain mail cuirass,gold (12),"eye (0), head (0), body (12), arm (12), leg (12), wing (12)",0,-1,0,1,body,1,,,0,Light armors
a9,plate cuirass,gold (16),"eye (0), head (0), body (14), arm (14), leg (14), wing (14)",0,-1,0,2,body,1,,,0,Medium armors
a10,leather hauberk,gold (9),"eye (0), head (0), body (8), arm (8), leg (8), wing (8)",0,0,0,0,body,1,,,0,Light armors
a11,ring mail hauberk,gold (12),"eye (0), head (0), body (10), arm (10), leg (10), wing (10)",0,-1,0,1,body,1,,,0,Light armors
a12,scale mail hauberk,gold (14.5),"eye (0), head (0), body (13), arm (13), leg (13), wing (13)",0,-1,0,2,body,1,,,0,Medium armors
a13,chain mail hauberk,gold (13),"eye (0), head (0), body (15), arm (15), leg (15), wing (15)",0,-2,0,2,body,1,,,0,Medium armors
a14,plate hauberk,gold (18),"eye (0), head (0), body (18), arm (18), leg (18), wing (18)",0,-3,0,4,body,1,,,0,Heavy armors
a15,full leather armor,gold (10),"eye (0), head (0), body (9), arm (9), leg (9), wing (9)",0,-1,0,1,body,1,,,0,Light armors
a16,full ring mail,gold (12),"eye (0), head (0), body (12), arm (12), leg (12), wing (12)",0,-2,0,2,body,1,,,0,Medium armors
a17,full scale mail,gold (13),"eye (0), head (0), body (15), arm (15), leg (15), wing (15)",0,-2,0,3,body,1,,,0,Medium armors
a18,full chain mail,gold (18),"eye (0), head (0), body (18), arm (18), leg (18), wing (18)",0,-3,0,3,body,1,,,0,Medium armors
a19,full plate mail,gold (25),"eye (0), head (0), body (21), arm (21), leg (21), wing (21)",0,-3,0,5,body,1,,,0,Heavy armors
